# --------------------------------------------------------------------------------													
# 													
# Copyright (c) 2000-2020. All rights reserved													
# 													
# Time Period In Log (days.hh:mm:ss): 0.06:29:50													
# 													
# Number of log entries: 1000													
# 													
# --------------------------------------------------------------------------------													
SessionName (JobName)	SessionVersion	RunName	RunNumber	TimestampLocal	TimestampUtc	EventSource	FileNumber	NumberOfSamples	NumberOfChannels	FileSizeBytes	TimeBreak	EventMessage	CreateDT
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:55	23-06-2020 8:55	AcquisitionSystem	31	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0031_S20200623_145209.686+0500_0000.sgy	23-06-2020 9:09
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:56	23-06-2020 8:56	AcquisitionSystem	32	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0032_S20200623_145224.686+0500_0000.sgy	23-06-2020 9:09
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:56	23-06-2020 8:56	AcquisitionSystem	33	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0033_S20200623_145239.686+0500_0000.sgy	23-06-2020 9:10
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:56	23-06-2020 8:56	AcquisitionSystem	34	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0034_S20200623_145254.686+0500_0000.sgy	23-06-2020 9:10
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:56	23-06-2020 8:56	AcquisitionSystem	35	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0035_S20200623_145309.686+0500_0000.sgy	23-06-2020 9:10
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:57	23-06-2020 8:57	AcquisitionSystem	36	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0036_S20200623_145324.686+0500_0000.sgy	23-06-2020 9:10
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:57	23-06-2020 8:57	User						Fluid 1 rate 13 l/min	23-06-2020 9:10
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:57	23-06-2020 8:57	AcquisitionSystem	37	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0037_S20200623_145339.686+0500_0000.sgy	23-06-2020 9:11
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:57	23-06-2020 8:57	AcquisitionSystem	38	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0038_S20200623_145354.686+0500_0000.sgy	23-06-2020 9:11
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:57	23-06-2020 8:57	AcquisitionSystem	39	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0039_S20200623_145409.686+0500_0000.sgy	23-06-2020 9:11
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:58	23-06-2020 8:58	AcquisitionSystem	40	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0040_S20200623_145424.686+0500_0000.sgy	23-06-2020 9:11
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:58	23-06-2020 8:58	AcquisitionSystem	41	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0041_S20200623_145439.686+0500_0000.sgy	23-06-2020 9:12
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:58	23-06-2020 8:58	AcquisitionSystem	42	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0042_S20200623_145454.686+0500_0000.sgy	23-06-2020 9:12
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:58	23-06-2020 8:58	AcquisitionSystem	43	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0043_S20200623_145509.686+0500_0000.sgy	23-06-2020 9:12
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:59	23-06-2020 8:59	User						Fluid 1 rate 15 l/min	23-06-2020 9:12
